case_id,start_type,k,rel_u,rel_p,state_delta_proxy,continuity,dp_ratio,time_s
topology_0290,cold,0,1.0,1.0,0.0,0.0,0.0,0.0
topology_0290,cold,1,0.9639486378578483,0.6337633959581842,0.036051362142151655,3.62457804486313e-08,0.845260543019131,0.11698341369628906
topology_0290,cold,5,0.7335044267190814,0.7611720327828806,0.2304442111387669,4.3001826990937903e-08,1.220692710204529,0.10056471824645996
topology_0290,neural,0,0.6788030389567685,0.9915933940524192,0.0,5.204419236609215e-08,0.0055419006291903645,0.0
topology_0290,neural,1,0.6630022028377045,0.9431316620609622,0.01580083611906402,4.373891703326885e-08,0.06999942806838179,0.09535861015319824
topology_0290,neural,5,0.6111630028344233,0.6481075224483028,0.05183920000328124,4.060349718328252e-08,0.430157873588118,0.13253378868103027
topology_0291,cold,0,1.0,1.0,0.0,0.0,0.0,0.0
topology_0291,cold,1,0.9702862249178446,0.42694790239017977,0.029713775082155447,3.624582116911263e-08,0.5509857242899572,0.13292312622070312
topology_0291,cold,5,0.7437694112054006,0.3898165588768465,0.22651681371244392,3.9248463760671864e-08,1.0985574611379598,0.12298107147216797
topology_0291,neural,0,0.6197702030279982,0.9924262113864448,0.0,4.913922402537783e-08,0.0038219697688466866,0.0
topology_0291,neural,1,0.6184074165665824,0.8466683852418768,0.0013627864614158547,4.261881519486319e-08,0.1404655065632621,0.13072872161865234
topology_0291,neural,5,0.5878070947177346,0.5096266141536838,0.030600321848847756,4.129715215602021e-08,0.46349754992103276,0.11615943908691406
topology_0292,cold,0,1.0,1.0,0.0,0.0,0.0,0.0
topology_0292,cold,1,0.9632638183289535,0.3289516662006551,0.03673618167104653,3.6245769980013336e-08,0.6721715436469698,0.15971827507019043
topology_0292,cold,5,0.7157184499314347,0.458660910669946,0.24754536839751873,4.118824418269764e-08,1.1635691146550393,0.1367206573486328
topology_0292,neural,0,0.6248479902247912,0.9914401491406515,0.0,5.1711915276868544e-08,0.004129678750239292,0.0
topology_0292,neural,1,0.6184841962137361,0.8713210259003003,0.006363794011055135,4.219277530957421e-08,0.13051884823029197,0.157210111618042
topology_0292,neural,5,0.5603230200500976,0.4356352611498147,0.05816117616363847,3.9831805040466234e-08,0.5309539017500409,0.12795329093933105
topology_0293,cold,0,1.0,1.0,0.0,0.0,0.0,0.0
topology_0293,cold,1,0.9669860695457408,0.414597725353469,0.033013930454259155,3.624577219205271e-08,0.6219428036987963,0.11891412734985352
topology_0293,cold,5,0.7486558737845813,0.4254388653067397,0.21833019576115953,4.054129611070839e-08,1.0947237093558386,0.11967134475708008
topology_0293,neural,0,0.7029271075410961,0.9931657345857494,0.0,4.963664368251949e-08,0.003514132300638312,0.0
topology_0293,neural,1,0.6950499427695386,0.8758348423750288,0.007877164771557532,3.990991734801381e-08,0.1225280573113209,0.12757492065429688
topology_0293,neural,5,0.6482565284420048,0.5452999859309541,0.04679341432753381,3.932941233390229e-08,0.4481885280618459,0.09131503105163574
topology_0294,cold,0,1.0,1.0,0.0,0.0,0.0,0.0
topology_0294,cold,1,0.9568854366173617,0.29882603467334967,0.043114563382638305,3.6245769980013336e-08,0.7039367889330287,0.11694717407226562
topology_0294,cold,5,0.6261464137287389,0.7194358882455704,0.3307390228886228,3.909249217243266e-08,1.370077330660244,0.13481998443603516
topology_0294,neural,0,0.3768733093533616,0.9897549981716657,0.0,5.1190607446922425e-08,0.005041344390149971,0.0
topology_0294,neural,1,0.38160807504229544,0.8549082568389639,0.0047347656889338285,4.408299928468583e-08,0.12508750571496385,0.1325535774230957
topology_0294,neural,5,0.38064204314225164,0.47836723893475586,0.0009660319000437956,4.1390255235066606e-08,0.48529859104126993,0.12849068641662598
topology_0295,cold,0,1.0,1.0,0.0,0.0,0.0,0.0
topology_0295,cold,1,0.9768521835217117,0.6267076637597754,0.02314781647828834,3.624582116911263e-08,0.3910822842085928,0.15227484703063965
topology_0295,cold,5,0.8330484727371023,0.42027330570154936,0.1438037107846094,3.868553654770218e-08,0.6780489600476728,0.09815502166748047
topology_0295,neural,0,0.7412309397721711,0.9961071978330523,0.0,4.3790743751781597e-08,0.002291656412065785,0.0
topology_0295,neural,1,0.7431483917959759,0.9011780099190064,0.0019174520238047776,3.858491714680393e-08,0.09382077822180264,0.10364627838134766
topology_0295,neural,5,0.7339750105015052,0.7151373604676715,0.009173381294470762,3.818795052266475e-08,0.29589224957025323,0.11870026588439941
topology_0296,cold,0,1.0,1.0,0.0,0.0,0.0,0.0
topology_0296,cold,1,0.9663530197679278,0.4191292912575343,0.03364698023207224,3.624577219205271e-08,0.9179683730826605,0.14179039001464844
topology_0296,cold,5,0.748069583386294,0.8938293483188434,0.21828343638163372,3.8242901630782225e-08,1.4066933522904022,0.11988067626953125
topology_0296,neural,0,0.6664982166211462,0.9902838530042452,0.0,4.5932060667923294e-08,0.005117747024284323,0.0
topology_0296,neural,1,0.6527528651885626,0.7946236793165081,0.013745351432583597,3.8517915052690324e-08,0.1374553589315397,0.09836387634277344
topology_0296,neural,5,0.5884391706648694,0.37843711555712023,0.06431369452369318,3.866837828137083e-08,0.621364289912111,0.10675406455993652
topology_0297,cold,0,1.0,1.0,0.0,0.0,0.0,0.0
topology_0297,cold,1,0.9576927534624752,0.31688827000313596,0.04230724653752482,3.624577208686313e-08,0.7578099755029456,0.11477541923522949
topology_0297,cold,5,0.6683911366543825,0.6689086196294978,0.28930161680809263,4.085940396416015e-08,1.3006142024261345,0.11285257339477539
topology_0297,neural,0,0.44759315634817515,0.9898340960120292,0.0,4.926878648905343e-08,0.004956632884151643,0.0
topology_0297,neural,1,0.4480455257398117,0.8602566978136055,0.00045236939163656453,4.148193354631035e-08,0.1219387377401164,0.10341572761535645
topology_0297,neural,5,0.4286378447945253,0.47351900418852977,0.019407680945286387,3.9976521136549994e-08,0.5022438423388029,0.10288381576538086
